"","observed_month","prod_type","prod_process","n_hens","n_eggs","source"
"83",2016-09-30,"table eggs","all",303270000,7204200000,"ChicEggs-11-22-2016.pdf"
"84",2016-10-31,"table eggs","all",305852000,7534700000,"ChicEggs-12-23-2016.pdf"
"85",2016-11-30,"table eggs","all",310728000,7468500000,"ChicEggs-01-24-2017.pdf"
"86",2016-12-31,"table eggs","all",318820000,7950400000,"ChicEggs-02-28-2017.pdf"
"87",2017-01-31,"table eggs","all",318109000,7903500000,"ChicEggs-03-21-2017.pdf"
"88",2017-02-28,"table eggs","all",316807000,7079800000,"ChicEggs-04-21-2017.pdf"
"89",2017-03-31,"table eggs","all",316147000,7.842e+09,"ChicEggs-05-22-2017.pdf"
"90",2017-04-30,"table eggs","all",314918000,7545900000,"ChicEggs-06-23-2017.pdf"
"91",2017-05-31,"table eggs","all",312321000,7730900000,"ChicEggs-07-21-2017.pdf"
"92",2017-06-30,"table eggs","all",310798000,7475700000,"ChicEggs-08-22-2017.pdf"
"93",2017-07-31,"table eggs","all",310552000,7730100000,"ChicEggs-09-22-2017.pdf"
"94",2017-08-31,"table eggs","all",311301000,7686200000,"ChicEggs-10-23-2017.pdf"
"95",2017-09-30,"table eggs","all",312364000,7376500000,"ChicEggs-11-21-2017.pdf"
"96",2017-10-31,"table eggs","all",314692000,7683700000,"ChicEggs-12-22-2017.pdf"
"97",2017-11-30,"table eggs","all",319506000,7635400000,"ChicEggs-01-23-2018.pdf"
"98",2017-12-31,"table eggs","all",322059000,7963900000,"ChicEggs-02-27-2018.pdf"
"99",2018-01-31,"table eggs","all",321410000,7841800000,"ChicEggs-03-23-2018.pdf"
"100",2018-02-28,"table eggs","all",322690000,7099800000,"ChicEggs-04-23-2018.pdf"
"101",2018-03-31,"table eggs","all",324545000,7.932e+09,"ChicEggs-05-22-2018.pdf"
"102",2018-04-30,"table eggs","all",324098000,7.665e+09,"ChicEggs-06-22-2018.pdf"
"103",2018-05-31,"table eggs","all",323536000,7932600000,"ChicEggs-07-23-2018.pdf"
"104",2018-06-30,"table eggs","all",323472000,7670400000,"ChicEggs-08-21-2018.pdf"
"105",2018-07-31,"table eggs","all",323170000,7900700000,"ChicEggs-09-21-2018.pdf"
"106",2018-08-31,"table eggs","all",323806000,7967900000,"ChicEggs-10-22-2018.pdf"
"107",2018-09-30,"table eggs","all",324913000,7759800000,"ChicEggs-11-20-2018.pdf"
"108",2018-10-31,"table eggs","all",326632000,8066500000,"ChicEggs-12-21-2018.pdf"
"109",2018-11-30,"table eggs","all",329614000,7922600000,"ChicEggs-12-21-2018.pdf"
"110",2018-12-31,"table eggs","all",331277000,8259100000,"ChicEggs-02-26-2019.pdf"
"111",2019-01-31,"table eggs","all",332613000,8275400000,"ChicEggs-03-27-2019.pdf"
"112",2019-02-28,"table eggs","all",336802000,7516500000,"ChicEggs-04-22-2019.pdf"
"113",2019-03-31,"table eggs","all",340855000,8424300000,"ChicEggs-05-21-2019.pdf"
"114",2019-04-30,"table eggs","all",339589000,8.16e+09,"ChicEggs-06-21-2019.pdf"
"115",2019-05-31,"table eggs","all",334526000,8346300000,"ChicEggs-07-23-2019.pdf"
"116",2019-06-30,"table eggs","all",329705000,7990800000,"ChicEggs-08-23-2019.pdf"
"117",2019-07-31,"table eggs","all",328072000,8200400000,"ChicEggs-09-23-2019.pdf"
"118",2019-08-31,"table eggs","all",329933000,8253900000,"ChicEggs-10-22-2019.pdf"
"119",2019-09-30,"table eggs","all",332574000,8034700000,"ChicEggs-11-22-2019.pdf"
"120",2019-10-31,"table eggs","all",335707000,8446600000,"ChicEggs-12-23-2019.pdf"
"121",2019-11-30,"table eggs","all",339123000,8328200000,"ChicEggs-01-21-2020.pdf"
"122",2019-12-31,"table eggs","all",341166000,8.601e+09,"ChicEggs-02-28-2020.pdf"
"123",2020-01-31,"table eggs","all",338062000,8486600000,"ChicEggs-03-23-2020.pdf"
"124",2020-02-29,"table eggs","all",332433000,7790900000,"ChicEggs-04-21-2020.pdf"
"125",2020-03-31,"table eggs","all",330713000,8294300000,"ChicEggs-05-22-2020.pdf"
"126",2020-04-30,"table eggs","all",327264000,7881800000,"ChicEggs-06-22-2020.pdf"
"127",2020-05-31,"table eggs","all",321698000,7860200000,"ChicEggs-07-21-2020.pdf"
"128",2020-06-30,"table eggs","all",317846000,7597800000,"ChicEggs-08-21-2020.pdf"
"129",2020-07-31,"table eggs","all",314852000,8014500000,"ChicEggs-09-22-2020.pdf"
"130",2020-08-31,"table eggs","all",315875000,8040500000,"ChicEggs-10-23-2020.pdf"
"131",2020-09-30,"table eggs","all",319593000,7810800000,"ChicEggs-11-23-2020.pdf"
"132",2020-10-31,"table eggs","all",322758000,8246900000,"ChicEggs-12-22-2020.pdf"
"133",2020-11-30,"table eggs","all",325239000,8114100000,"ChicEggs-01-21-2021.pdf"
"134",2020-12-31,"table eggs","all",326897000,8356400000,"ChicEggs-02-26-2021.pdf"
"135",2021-01-31,"table eggs","all",327095000,8260700000,"ChicEggs-03-22-2021.pdf"
"136",2021-02-28,"table eggs","all",327081000,7439500000,"ChicEggs-04-22-2021.pdf"
"137",2021-03-31,"table eggs","all",325956000,8248100000,"ChicEggs-05-21-2021.pdf"
"138",2021-04-30,"table eggs","all",322537000,7942700000,"ChicEggs-06-22-2021.pdf"
"139",2021-05-31,"table eggs","all",318179000,8065500000,"ChicEggs-07-22-2021.pdf"
"140",2021-06-30,"table eggs","all",317574000,7780800000,"ChicEggs-08-23-2021.pdf"
"141",2021-07-31,"table eggs","all",319072000,8101900000,"ChicEggs-09-22-2021.pdf"
"142",2021-08-31,"table eggs","all",319645000,8.135e+09,"ChicEggs-10-22-2021.pdf"
"143",2021-09-30,"table eggs","all",321345000,7945200000,"ChicEggs-11-22-2021.pdf"
"144",2021-10-31,"table eggs","all",324713000,8319700000,"ChicEggs-12-21-2021.pdf"
"145",2021-11-30,"table eggs","all",327167000,8122300000,"ChicEggs-01-19-2022.pdf"
"146",2021-12-31,"table eggs","all",326730000,8376200000,"ChicEggs-02-25-2022.pdf"
"147",2022-01-31,"table eggs","all",324235000,8266800000,"ChicEggs-03-21-2022.pdf"
"148",2022-02-28,"table eggs","all",321731000,7388300000,"ChicEggs-04-21-2022.pdf"
"149",2022-03-31,"table eggs","all",313264000,8030800000,"ChicEggs-05-20-2022.pdf"
"150",2022-04-30,"table eggs","all",302849000,7552900000,"ChicEggs-06-23-2022.pdf"
"151",2022-05-31,"table eggs","all",299414000,7663100000,"ChicEggs-07-21-2022.pdf"
"152",2022-06-30,"table eggs","all",298932000,7379400000,"ChicEggs-08-22-2022.pdf"
"153",2022-07-31,"table eggs","all",301611000,7.698e+09,"ChicEggs-09-21-2022.pdf"
"154",2022-08-31,"table eggs","all",305470000,7.79e+09,"ChicEggs-10-21-2022.pdf"
"155",2022-09-30,"table eggs","all",307203000,7.561e+09,"ChicEggs-11-21-2022.pdf"
"156",2022-10-31,"table eggs","all",308333000,7839200000,"ChicEggs-12-20-2022.pdf"
"157",2022-11-30,"table eggs","all",309266000,7627300000,"ChicEggs-01-20-2023.pdf"
"158",2022-12-31,"table eggs","all",309457000,7859700000,"ChicEggs-02-27-2023.pdf"
"159",2023-01-31,"table eggs","all",308173000,7756900000,"ChicEggs-03-23-2023.pdf"
"160",2023-02-28,"table eggs","all",310940000,7.033e+09,"ChicEggs-03-23-2023.pdf"
"161",2016-08-31,"table eggs","cage-free (non-organic)",1.7e+07,397884291.428571,"PY20160919MCAGEFREE.PDF"
"162",2016-09-30,"table eggs","cage-free (non-organic)",1.7e+07,383774914.285714,"PY20161004MCAGEFREE.PDF"
"163",2016-10-31,"table eggs","cage-free (non-organic)",23500000,546374468.571429,"PY20161102MCAGEFREE.PDF"
"164",2016-11-30,"table eggs","cage-free (non-organic)",23500000,530864742.857143,"PY20161205MCAGEFREE.PDF"
"165",2016-12-31,"table eggs","cage-free (non-organic)",23500000,542733120,"PY20170109MCAGEFREE.PDF"
"166",2017-01-31,"table eggs","cage-free (non-organic)",23500000,550017411.428571,"PY20170206MCAGEFREE.PDF"
"167",2017-02-28,"table eggs","cage-free (non-organic)",24400000,515816640,"PY20170306MCAGEFREE.PDF"
"168",2017-03-31,"table eggs","cage-free (non-organic)",26100000,600757148.571429,"PY20170403MCAGEFREE.PDF"
"169",2017-04-30,"table eggs","cage-free (non-organic)",26600000,602490342.857143,"PY20170503MCAGEFREE.PDF"
"170",2017-05-31,"table eggs","cage-free (non-organic)",27300000,636840617.142857,"PY20170605MCAGEFREE.PDF"
"171",2017-06-30,"table eggs","cage-free (non-organic)",27300000,618344742.857143,"PY20170630MCAGEFREE.PDF"
"172",2017-07-31,"table eggs","cage-free (non-organic)",27500000,643637057.142857,"PY20170808MCAGEFREE.PDF"
"173",2017-08-31,"table eggs","cage-free (non-organic)",31700000,744395914.285714,"PY20170905MCAGEFREE.PDF"
"174",2017-09-30,"table eggs","cage-free (non-organic)",33500000,753750514.285714,"PY20171002MCAGEFREE.PDF"
"175",2017-10-31,"table eggs","cage-free (non-organic)",34700000,804085971.428571,"PY20171107MCAGEFREE.PDF"
"176",2017-11-30,"table eggs","cage-free (non-organic)",34700000,780750514.285714,"PY20171204MCAGEFREE.PDF"
"177",2017-12-31,"table eggs","cage-free (non-organic)",3.5e+07,813750531.428571,"PY20180103MCAGEFREE.PDF"
"178",2018-01-31,"table eggs","cage-free (non-organic)",35680000,826794977.142857,"PY20180206MCAGEFREE.PDF"
"179",2018-02-28,"table eggs","cage-free (non-organic)",36861000,771500160,"PY20180305MCAGEFREE.PDF"
"180",2018-03-31,"table eggs","cage-free (non-organic)",36861000,857017851.428571,"PY20180402MCAGEFREE.PDF"
"181",2018-04-30,"table eggs","cage-free (non-organic)",38896000,875159485.714286,"PY20180507MCAGEFREE.PDF"
"182",2018-05-31,"table eggs","cage-free (non-organic)",38896000,904331468.571429,"PY20180604MCAGEFREE.PDF"
"183",2018-06-30,"table eggs","cage-free (non-organic)",39083000,882298285.714286,"PY20180629MCAGEFREE.PDF"
"184",2018-07-31,"table eggs","cage-free (non-organic)",39083000,908679085.714286,"PY20180731MCAGEFREE.PDF"
"185",2018-08-31,"table eggs","cage-free (non-organic)",39083000,908679085.714286,"PY20180904MCAGEFREE.PDF"
"186",2018-09-30,"table eggs","cage-free (non-organic)",41437000,935440457.142857,"PY20181001MCAGEFREE.PDF"
"187",2018-10-31,"table eggs","cage-free (non-organic)",41470000,967391845.714286,"PY20181102MCAGEFREE.PDF"
"188",2018-11-30,"table eggs","cage-free (non-organic)",41470000,939296057.142857,"PY20181203MCAGEFREE.PDF"
"189",2018-12-31,"table eggs","cage-free (non-organic)",41470000,973820005.714286,"PY20190107MCAGEFREE.PDF"
"190",2019-01-31,"table eggs","cage-free (non-organic)",41470000,973820005.714286,"PY20190205MCAGEFREE.PDF"
"191",2019-02-28,"table eggs","cage-free (non-organic)",41613000,879698880,"PY20190304MCAGEFREE.PDF"
"192",2019-03-31,"table eggs","cage-free (non-organic)",46849000,1092870102.85714,"PY20190401MCAGEFREE.PDF"
"193",2019-04-30,"table eggs","cage-free (non-organic)",50669000,1147652742.85714,"PY20190506MCAGEFREE.PDF"
"194",2019-05-31,"table eggs","cage-free (non-organic)",50897000,1191243908.57143,"PY20190603MCAGEFREE.PDF"
"195",2019-06-30,"table eggs","cage-free (non-organic)",51337000,1170483942.85714,"PY20190628MCAGEFREE.PDF"
"196",2019-07-31,"table eggs","cage-free (non-organic)",51337000,1209500074.28571,"PY20190805MCAGEFREE.PDF"
"197",2019-08-31,"table eggs","cage-free (non-organic)",51337000,1209500074.28571,"PY20190903MCAGEFREE.PDF"
"198",2019-09-30,"table eggs","cage-free (non-organic)",52734000,1198380342.85714,"PY20191001MCAGEFREE.PDF"
"199",2019-10-31,"table eggs","cage-free (non-organic)",54208000,1272939891.42857,"PY20191105MCAGEFREE.PDF"
"200",2019-11-30,"table eggs","cage-free (non-organic)",54593000,1248814800,"PY20191202MCAGEFREE.PDF"
"201",2019-12-31,"table eggs","cage-free (non-organic)",54593000,1290441960,"PY20200106MCAGEFREE.PDF"
"202",2020-01-31,"table eggs","cage-free (non-organic)",53966000,1271439668.57143,"PY20200203MCAGEFREE.PDF"
"203",2020-02-29,"table eggs","cage-free (non-organic)",53966000,1189411302.85714,"PY20200302MCAGEFREE.PDF"
"204",2020-03-31,"table eggs","cage-free (non-organic)",61204000,1437223062.85714,"PY20200406MCAGEFREE.PDF"
"205",2020-04-30,"table eggs","cage-free (non-organic)",60896000,1388429485.71429,"PY20200504MCAGEFREE.PDF"
"206",2020-05-31,"table eggs","cage-free (non-organic)",61061000,1466989971.42857,"PY20200601MCAGEFREE.PDF"
"207",2020-06-30,"table eggs","cage-free (non-organic)",62590000,1473994800,"PY20200706MCAGEFREE.PDF"
"208",2020-07-31,"table eggs","cage-free (non-organic)",63030000,1533835182.85714,"PY20200803MCAGEFREE.PDF"
"209",2020-08-31,"table eggs","cage-free (non-organic)",63030000,1577799205.71429,"PY20200908MCAGEFREE.PDF"
"210",2020-09-30,"table eggs","cage-free (non-organic)",62832000,1479694114.28571,"PY20201005MCAGEFREE.PDF"
"211",2020-10-31,"table eggs","cage-free (non-organic)",62909000,1550391840,"PY20201102MCAGEFREE.PDF"
"212",2020-11-30,"table eggs","cage-free (non-organic)",62909000,1519252971.42857,"PY20201207MCAGEFREE.PDF"
"213",2020-12-31,"table eggs","cage-free (non-organic)",62634000,1567885937.14286,"PY20210104MCAGEFREE.PDF"
"214",2021-01-31,"table eggs","cage-free (non-organic)",64955000,1590747994.28571,"PY20210201MCAGEFREE.PDF"
"215",2021-02-28,"table eggs","cage-free (non-organic)",67496000,1493012160,"PY20210301MCAGEFREE.PDF"
"216",2021-03-31,"table eggs","cage-free (non-organic)",67496000,1642514451.42857,"PY20210405MCAGEFREE.PDF"
"217",2021-04-30,"table eggs","cage-free (non-organic)",68541000,1639842685.71429,"PY20210430MCAGEFREE.PDF"
"218",2021-05-31,"table eggs","cage-free (non-organic)",68541000,1689193542.85714,"PY20210601MCAGEFREE.PDF"
"219",2021-06-30,"table eggs","cage-free (non-organic)",68541000,1629562628.57143,"PY20210706MCAGEFREE.PDF"
"220",2021-07-31,"table eggs","cage-free (non-organic)",68541000,1689193542.85714,"PY20210802MCAGEFREE.PDF"
"221",2021-08-31,"table eggs","cage-free (non-organic)",73480000,1810914068.57143,"PY20210913MCAGEFREE.PDF"
"222",2021-09-30,"table eggs","cage-free (non-organic)",75053000,1790013600,"PY20211004MCAGEFREE.PDF"
"223",2021-10-31,"table eggs","cage-free (non-organic)",75372000,1875066531.42857,"PY20211101MCAGEFREE.PDF"
"224",2021-11-30,"table eggs","cage-free (non-organic)",76912000,1845888171.42857,"PY20211206MCAGEFREE.PDF"
"225",2021-12-31,"table eggs","cage-free (non-organic)",92929200,2425350188.57143,"PY20220103MCAGEFREE.PDF"
"226",2022-01-31,"table eggs","cage-free (non-organic)",92929200,2425350188.57143,"PY20220207MCAGEFREE.PDF"
"227",2022-02-28,"table eggs","cage-free (non-organic)",92928000,2135632320,"PY20220303MCAGEFREE.PDF"
"228",2022-03-31,"table eggs","cage-free (non-organic)",90508000,2292295885.71429,"PY20220401MCAGEFREE.PDF"
"229",2022-04-30,"table eggs","cage-free (non-organic)",90508000,2264962114.28571,"PY20220429MCAGEFREE.PDF"
"230",2022-05-31,"table eggs","cage-free (non-organic)",88506000,2277700200,"PY20220601MCAGEFREE.PDF"
"231",2022-06-30,"table eggs","cage-free (non-organic)",85569000,2131080685.71429,"PY20220701MCAGEFREE.PDF"
"232",2022-07-31,"table eggs","cage-free (non-organic)",NA,2225976788.57143,"PY20220801MCAGEFREE.PDF"
"233",2022-08-31,"table eggs","cage-free (non-organic)",NA,2228790702.85714,"PY20220902MCAGEFREE.PDF"
"234",2022-09-30,"table eggs","cage-free (non-organic)",NA,2166816342.85714,"PY20221001MCAGEFREE.PDF"
"235",2022-10-31,"table eggs","cage-free (non-organic)",NA,2253502131.42857,"PY20221101MCAGEFREE.PDF"
"236",2022-11-30,"table eggs","cage-free (non-organic)",NA,2187882514.28571,"PY20221201MCAGEFREE.PDF"
"237",2022-12-31,"table eggs","cage-free (non-organic)",NA,2251018234.28571,"PY20230103MCAGEFREE.PDF"
"238",2023-01-31,"table eggs","cage-free (non-organic)",NA,2373900994.28571,"PY20230201MCAGEFREE.PDF"
"239",2023-02-28,"table eggs","cage-free (non-organic)",NA,2223722880,"PY20230301MCAGEFREE.PDF"
"240",2023-03-31,"table eggs","cage-free (non-organic)",NA,2558964085.71429,"PY20230403MCAGEFREE.PDF"
"241",2016-08-31,"table eggs","cage-free (organic)",13500000,315968297.142857,"PY20160919MCAGEFREE.PDF"
"242",2016-09-30,"table eggs","cage-free (organic)",13500000,304762114.285714,"PY20161004MCAGEFREE.PDF"
"243",2016-10-31,"table eggs","cage-free (organic)",14100000,327825000,"PY20161102MCAGEFREE.PDF"
"244",2016-11-30,"table eggs","cage-free (organic)",14100000,318519771.428571,"PY20161205MCAGEFREE.PDF"
"245",2016-12-31,"table eggs","cage-free (organic)",14100000,325639234.285714,"PY20170109MCAGEFREE.PDF"
"246",2017-01-31,"table eggs","cage-free (organic)",14100000,330010765.714286,"PY20170206MCAGEFREE.PDF"
"247",2017-02-28,"table eggs","cage-free (organic)",14100000,298074240,"PY20170306MCAGEFREE.PDF"
"248",2017-03-31,"table eggs","cage-free (organic)",14500000,333754148.571429,"PY20170403MCAGEFREE.PDF"
"249",2017-04-30,"table eggs","cage-free (organic)",14600000,330689828.571429,"PY20170503MCAGEFREE.PDF"
"250",2017-05-31,"table eggs","cage-free (organic)",14600000,340580880,"PY20170605MCAGEFREE.PDF"
"251",2017-06-30,"table eggs","cage-free (organic)",14600000,330689828.571429,"PY20170630MCAGEFREE.PDF"
"252",2017-07-31,"table eggs","cage-free (organic)",14600000,341712822.857143,"PY20170808MCAGEFREE.PDF"
"253",2017-08-31,"table eggs","cage-free (organic)",14100000,331102851.428571,"PY20170905MCAGEFREE.PDF"
"254",2017-09-30,"table eggs","cage-free (organic)",14300000,321750514.285714,"PY20171002MCAGEFREE.PDF"
"255",2017-10-31,"table eggs","cage-free (organic)",14700000,340635085.714286,"PY20171107MCAGEFREE.PDF"
"256",2017-11-30,"table eggs","cage-free (organic)",14700000,330750000,"PY20171204MCAGEFREE.PDF"
"257",2017-12-31,"table eggs","cage-free (organic)",14700000,341775000,"PY20180103MCAGEFREE.PDF"
"258",2018-01-31,"table eggs","cage-free (organic)",14550000,337159542.857143,"PY20180206MCAGEFREE.PDF"
"259",2018-02-28,"table eggs","cage-free (organic)",14996000,313866720,"PY20180305MCAGEFREE.PDF"
"260",2018-03-31,"table eggs","cage-free (organic)",14996000,348657531.428571,"PY20180402MCAGEFREE.PDF"
"261",2018-04-30,"table eggs","cage-free (organic)",15559000,350077371.428571,"PY20180507MCAGEFREE.PDF"
"262",2018-05-31,"table eggs","cage-free (organic)",15559000,361746617.142857,"PY20180604MCAGEFREE.PDF"
"263",2018-06-30,"table eggs","cage-free (organic)",15617000,352553657.142857,"PY20180629MCAGEFREE.PDF"
"264",2018-07-31,"table eggs","cage-free (organic)",15617000,363095382.857143,"PY20180731MCAGEFREE.PDF"
"265",2018-08-31,"table eggs","cage-free (organic)",15617000,363095382.857143,"PY20180904MCAGEFREE.PDF"
"266",2018-09-30,"table eggs","cage-free (organic)",15675000,353863542.857143,"PY20181001MCAGEFREE.PDF"
"267",2018-10-31,"table eggs","cage-free (organic)",15686000,365915674.285714,"PY20181102MCAGEFREE.PDF"
"268",2018-11-30,"table eggs","cage-free (organic)",15686000,355287600,"PY20181203MCAGEFREE.PDF"
